timestamp,latencia_ms,cpu_percent,ram_mb
2025-07-29 22:04:05,1006,40.4,678.8
2025-07-29 22:04:05,425,86.5,692.1
2025-07-29 22:04:06,429,89.1,693.6
2025-07-29 22:04:06,431,87.8,693.7
2025-07-29 22:04:07,440,88.4,693.9
2025-07-29 22:04:07,436,88.2,694.6
2025-07-29 22:04:08,434,88.1,695.0
2025-07-29 22:04:08,426,88.1,694.7
2025-07-29 22:04:08,434,87.6,694.7
2025-07-29 22:04:09,434,88.8,694.2
2025-07-29 22:04:09,432,88.1,694.2
2025-07-29 22:04:10,428,88.1,694.2
2025-07-29 22:04:10,445,88.0,694.1
2025-07-29 22:04:11,424,89.0,694.1
2025-07-29 22:04:11,427,88.5,692.1
2025-07-29 22:04:12,431,88.6,691.9
2025-07-29 22:04:12,436,88.3,689.9
2025-07-29 22:04:12,432,87.7,689.9
2025-07-29 22:04:13,437,87.7,687.9
2025-07-29 22:04:13,438,87.7,687.9
2025-07-29 22:04:14,427,88.4,687.9
2025-07-29 22:04:14,436,88.8,686.6
2025-07-29 22:04:15,431,88.5,686.5
2025-07-29 22:04:15,439,87.8,684.6
2025-07-29 22:04:16,431,88.1,684.3
2025-07-29 22:04:16,442,88.9,683.3
2025-07-29 22:04:16,432,88.3,683.3
2025-07-29 22:04:17,437,88.2,682.3
2025-07-29 22:04:17,430,88.1,682.2
2025-07-29 22:04:18,428,88.2,682.0
2025-07-29 22:04:18,441,88.2,681.0
2025-07-29 22:04:19,439,87.3,681.0
2025-07-29 22:04:19,440,87.9,680.4
2025-07-29 22:04:20,443,87.8,680.8
2025-07-29 22:04:20,437,87.0,680.6
2025-07-29 22:04:20,446,86.3,680.6
2025-07-29 22:04:21,439,87.3,679.9
2025-07-29 22:04:21,441,88.3,679.9
2025-07-29 22:04:22,431,88.1,679.3
2025-07-29 22:04:22,432,88.1,679.2
2025-07-29 22:04:23,442,85.6,679.2
2025-07-29 22:04:23,432,89.1,678.6
2025-07-29 22:04:24,431,87.6,678.7
2025-07-29 22:04:24,433,87.5,678.2
2025-07-29 22:04:24,425,89.0,678.1
2025-07-29 22:04:25,434,87.8,678.1
2025-07-29 22:04:25,436,88.3,678.1
2025-07-29 22:04:26,431,87.6,677.9
2025-07-29 22:04:26,431,87.6,677.8
2025-07-29 22:04:27,437,86.0,677.8
2025-07-29 22:04:27,437,88.1,677.6
2025-07-29 22:04:28,436,87.1,677.5
2025-07-29 22:04:28,440,87.7,676.9
2025-07-29 22:04:28,433,87.6,676.8
2025-07-29 22:04:29,425,88.4,676.7
2025-07-29 22:04:29,422,88.9,676.7
2025-07-29 22:04:30,432,88.2,676.5
2025-07-29 22:04:30,432,88.6,676.5
2025-07-29 22:04:31,428,87.5,676.3
2025-07-29 22:04:31,440,88.3,676.0
2025-07-29 22:04:32,427,88.6,676.3
2025-07-29 22:04:32,435,89.3,676.3
2025-07-29 22:04:32,430,86.9,676.3
2025-07-29 22:04:33,430,87.9,676.0
2025-07-29 22:04:33,430,88.6,676.0
2025-07-29 22:04:34,428,89.2,675.8
2025-07-29 22:04:34,427,88.6,675.5
2025-07-29 22:04:35,423,87.4,675.5
2025-07-29 22:04:35,433,88.2,675.5
2025-07-29 22:04:36,442,84.8,675.7
2025-07-29 22:04:36,438,87.3,676.7
2025-07-29 22:04:36,431,88.6,676.7
2025-07-29 22:04:37,431,88.1,676.5
2025-07-29 22:04:37,433,88.3,676.5
2025-07-29 22:04:38,426,87.4,676.5
2025-07-29 22:04:38,440,87.9,676.5
2025-07-29 22:04:39,431,87.6,676.5
2025-07-29 22:04:39,431,88.8,676.2
2025-07-29 22:04:39,430,88.6,676.2
2025-07-29 22:04:40,448,87.4,676.2
2025-07-29 22:04:40,433,88.6,676.2
2025-07-29 22:04:41,423,88.5,676.4
2025-07-29 22:04:41,432,86.7,676.4
2025-07-29 22:04:42,430,87.4,676.4
2025-07-29 22:04:42,437,89.3,676.2
2025-07-29 22:04:43,430,88.6,676.2
2025-07-29 22:04:43,438,88.8,676.2
2025-07-29 22:04:44,437,89.0,676.4
2025-07-29 22:04:44,432,88.8,676.2
2025-07-29 22:04:44,430,86.9,676.2
2025-07-29 22:04:45,428,88.6,676.2
2025-07-29 22:04:45,441,87.8,676.2
2025-07-29 22:04:46,435,87.6,676.2
