method,% cobertura,Detecciones/frame (media),Gap máx sin detección (frames),T_mediana a 1ª detección (ms),Falsos positivos (%),Aplicabilidad práctica (y mejoras)
BBoxes-YOLOv4tiny,61.9,0.619,22,,,"Operable para monitorización por eventos; mejorar con ajuste de threshold/NMS, ROI sobre zona de interés y resolución 320×240. Ajustar umbral/NMS y definir ROI; reducir resolución si hay oclusiones."
KeyPoints-ResNet50,33.3,0.5,8,,,Señal complementaria / análisis offline; considerar modelos más ligeros o flujo por etapas (caja→pose) y optimizar umbral/ROI. Explorar variantes lightweight (MoveNet/BlazePose) o caja→pose.
FlowerAI,32.4,0.338,9,,,Señal complementaria / análisis offline; considerar modelos más ligeros o flujo por etapas (caja→pose) y optimizar umbral/ROI. Sincronizar ciclos de captura/proceso y tasa de muestreo; evaluar ventanas de suavizado.
