method,frame_id,elapsed_sec,latency_ms,fps_inst,cpu_pct,ram_mb,detections
BBoxes-YOLOv4tiny,85,,446.78,2.24,348.7,309.2,0
BBoxes-YOLOv4tiny,86,,440.7,2.27,351.4,309.2,0
BBoxes-YOLOv4tiny,87,,444.79,2.25,350.4,309.2,0
BBoxes-YOLOv4tiny,88,,454.42,2.2,351.7,309.2,0
BBoxes-YOLOv4tiny,89,,444.91,2.25,350.4,309.2,1
BBoxes-YOLOv4tiny,90,,445.05,2.25,352.3,309.2,1
BBoxes-YOLOv4tiny,91,,445.09,2.25,348.1,309.2,1
BBoxes-YOLOv4tiny,92,,447.96,2.23,350.1,309.2,1
BBoxes-YOLOv4tiny,93,,443.27,2.26,351.5,309.2,1
BBoxes-YOLOv4tiny,94,,444.01,2.25,348.9,309.2,1
BBoxes-YOLOv4tiny,95,,447.67,2.23,350.4,309.2,1
BBoxes-YOLOv4tiny,96,,445.12,2.25,348.5,309.2,1
BBoxes-YOLOv4tiny,97,,445.23,2.25,352.4,309.2,1
BBoxes-YOLOv4tiny,98,,444.62,2.25,348.4,309.2,1
BBoxes-YOLOv4tiny,99,,451.13,2.22,352.1,309.2,1
BBoxes-YOLOv4tiny,100,,446.64,2.24,349.1,309.2,1
BBoxes-YOLOv4tiny,101,,444.19,2.25,349.1,309.2,1
BBoxes-YOLOv4tiny,102,,449.1,2.23,349.7,309.2,1
BBoxes-YOLOv4tiny,103,,447.17,2.24,348.7,309.2,1
BBoxes-YOLOv4tiny,104,,448.19,2.23,350.3,309.2,1
BBoxes-YOLOv4tiny,105,,448.37,2.23,350.1,309.2,1
BBoxes-YOLOv4tiny,106,,444.59,2.25,348.7,309.2,1
BBoxes-YOLOv4tiny,107,,444.54,2.25,353.2,309.2,1
BBoxes-YOLOv4tiny,108,,446.69,2.24,348.9,309.2,1
BBoxes-YOLOv4tiny,109,,445.89,2.24,351.9,309.2,1
BBoxes-YOLOv4tiny,110,,446.18,2.24,349.5,309.2,1
BBoxes-YOLOv4tiny,111,,448.06,2.23,352.6,309.2,1
BBoxes-YOLOv4tiny,112,,442.12,2.26,348.4,309.2,1
BBoxes-YOLOv4tiny,113,,443.81,2.25,351.3,309.2,1
BBoxes-YOLOv4tiny,114,,444.04,2.25,348.7,309.2,1
BBoxes-YOLOv4tiny,115,,445.14,2.25,350.3,309.2,1
BBoxes-YOLOv4tiny,116,,444.34,2.25,352.8,309.2,1
BBoxes-YOLOv4tiny,117,,445.02,2.25,350.1,309.2,1
BBoxes-YOLOv4tiny,118,,443.23,2.26,349.4,309.2,1
BBoxes-YOLOv4tiny,119,,444.09,2.25,351.0,309.2,1
BBoxes-YOLOv4tiny,120,,445.75,2.24,349.5,309.2,1
BBoxes-YOLOv4tiny,121,,446.94,2.24,351.0,309.2,1
BBoxes-YOLOv4tiny,122,,442.97,2.26,351.9,309.2,1
BBoxes-YOLOv4tiny,123,,440.65,2.27,351.4,309.2,1
BBoxes-YOLOv4tiny,124,,447.15,2.24,348.6,309.2,1
BBoxes-YOLOv4tiny,125,,448.18,2.23,352.2,309.2,0
BBoxes-YOLOv4tiny,126,,443.66,2.25,347.2,309.2,1
BBoxes-YOLOv4tiny,127,,443.56,2.25,351.4,309.2,1
BBoxes-YOLOv4tiny,128,,447.46,2.23,350.7,309.2,1
BBoxes-YOLOv4tiny,129,,444.51,2.25,350.7,309.2,1
