metric,KP_minus_BB,delta_pct_vs_BB
fps_mean,-1.8346859903381638,-78.3600874840094
latency_ms_mean,28338.95922705314,6604.164041662032
cpu_percent_mean,-99.51690821256038,-100.0
ram_mb_mean,503.58437311292266,163.19323761886233
efficiency_fps_per_10cpu,-0.23527184466019416,-100.0
