timestamp,method,source,frame_idx,latency_ms,fps_inst,cpu_pct,ram_mb,detections
2025-09-09T19:32:47.209539,BBoxes-YOLOv4tiny,webcam,49,402.371,2.485,90.4,330.18,1
2025-09-09T19:32:47.628094,BBoxes-YOLOv4tiny,webcam,50,405.182,2.468,91.1,330.18,0
2025-09-09T19:32:48.036097,BBoxes-YOLOv4tiny,webcam,51,396.089,2.525,90.8,330.18,1
2025-09-09T19:32:48.442350,BBoxes-YOLOv4tiny,webcam,52,395.098,2.531,90.9,330.18,1
2025-09-09T19:32:48.883543,BBoxes-YOLOv4tiny,webcam,53,430.104,2.325,89.8,330.18,1
2025-09-09T19:32:49.298973,BBoxes-YOLOv4tiny,webcam,54,404.039,2.475,90.9,330.18,1
2025-09-09T19:32:49.701122,BBoxes-YOLOv4tiny,webcam,55,391.507,2.554,91.8,330.18,1
2025-09-09T19:32:50.106038,BBoxes-YOLOv4tiny,webcam,56,393.434,2.542,90.1,330.18,1
2025-09-09T19:32:50.515351,BBoxes-YOLOv4tiny,webcam,57,398.339,2.51,90.9,330.18,1
2025-09-09T19:32:50.956062,BBoxes-YOLOv4tiny,webcam,58,427.381,2.34,89.1,330.18,0
2025-09-09T19:32:51.364827,BBoxes-YOLOv4tiny,webcam,59,396.8,2.52,90.8,330.18,0
2025-09-09T19:32:51.779200,BBoxes-YOLOv4tiny,webcam,60,403.258,2.48,91.0,330.18,0
2025-09-09T19:32:52.186890,BBoxes-YOLOv4tiny,webcam,61,396.683,2.521,90.2,330.18,0
2025-09-09T19:32:52.606502,BBoxes-YOLOv4tiny,webcam,62,408.301,2.449,91.1,330.18,0
2025-09-09T19:32:53.039963,BBoxes-YOLOv4tiny,webcam,63,422.828,2.365,90.2,330.18,0
2025-09-09T19:32:53.449701,BBoxes-YOLOv4tiny,webcam,64,398.174,2.511,90.2,330.18,0
2025-09-09T19:32:53.858081,BBoxes-YOLOv4tiny,webcam,65,397.402,2.516,90.9,330.18,0
2025-09-09T19:32:54.275150,BBoxes-YOLOv4tiny,webcam,66,403.745,2.477,90.4,330.18,0
2025-09-09T19:32:54.684755,BBoxes-YOLOv4tiny,webcam,67,397.545,2.515,90.9,330.18,1
2025-09-09T19:32:55.129517,BBoxes-YOLOv4tiny,webcam,68,433.558,2.306,88.6,330.18,1
2025-09-09T19:32:55.542864,BBoxes-YOLOv4tiny,webcam,69,402.352,2.485,91.5,330.18,1
2025-09-09T19:32:55.956540,BBoxes-YOLOv4tiny,webcam,70,401.631,2.49,90.9,330.18,1
2025-09-09T19:32:56.371601,BBoxes-YOLOv4tiny,webcam,71,403.601,2.478,91.0,330.18,1
2025-09-09T19:32:56.783384,BBoxes-YOLOv4tiny,webcam,72,401.217,2.492,90.9,330.18,1
2025-09-09T19:32:57.215158,BBoxes-YOLOv4tiny,webcam,73,416.198,2.403,89.0,330.18,1
2025-09-09T19:32:57.626281,BBoxes-YOLOv4tiny,webcam,74,400.414,2.497,90.9,330.18,1
2025-09-09T19:32:58.041775,BBoxes-YOLOv4tiny,webcam,75,405.025,2.469,91.5,330.18,1
2025-09-09T19:32:58.454096,BBoxes-YOLOv4tiny,webcam,76,400.033,2.5,90.8,330.18,1
