timestamp,method,source,frame_idx,latency_ms,fps_inst,cpu_pct,ram_mb,detections
2025-08-17T16:58:52.168,BBoxes-YOLOv4tiny,webcam,57,444.71,2.25,350.6,309.2,1
2025-08-17T16:58:52.619,BBoxes-YOLOv4tiny,webcam,58,442.61,2.26,350.0,309.2,1
2025-08-17T16:58:53.071,BBoxes-YOLOv4tiny,webcam,59,443.0,2.26,351.8,309.2,0
2025-08-17T16:58:53.522,BBoxes-YOLOv4tiny,webcam,60,441.47,2.27,348.5,309.2,0
2025-08-17T16:58:53.979,BBoxes-YOLOv4tiny,webcam,61,448.01,2.23,352.2,309.2,0
2025-08-17T16:58:54.430,BBoxes-YOLOv4tiny,webcam,62,442.57,2.26,349.9,309.2,1
2025-08-17T16:58:54.884,BBoxes-YOLOv4tiny,webcam,63,444.95,2.25,348.2,309.2,1
2025-08-17T16:58:55.341,BBoxes-YOLOv4tiny,webcam,64,448.0,2.23,352.4,309.2,1
2025-08-17T16:58:55.796,BBoxes-YOLOv4tiny,webcam,65,445.36,2.25,349.9,309.2,1
2025-08-17T16:58:56.248,BBoxes-YOLOv4tiny,webcam,66,444.1,2.25,351.1,309.2,0
2025-08-17T16:58:56.706,BBoxes-YOLOv4tiny,webcam,67,448.81,2.23,351.8,309.2,1
2025-08-17T16:58:57.163,BBoxes-YOLOv4tiny,webcam,68,447.81,2.23,350.1,309.2,1
2025-08-17T16:58:57.617,BBoxes-YOLOv4tiny,webcam,69,444.95,2.25,348.2,309.2,1
2025-08-17T16:58:58.073,BBoxes-YOLOv4tiny,webcam,70,446.91,2.24,350.8,309.2,1
2025-08-17T16:58:58.524,BBoxes-YOLOv4tiny,webcam,71,442.1,2.26,350.1,309.2,1
2025-08-17T16:58:58.979,BBoxes-YOLOv4tiny,webcam,72,445.43,2.25,352.2,309.2,0
2025-08-17T16:58:59.430,BBoxes-YOLOv4tiny,webcam,73,442.04,2.26,352.5,309.2,0
2025-08-17T16:58:59.882,BBoxes-YOLOv4tiny,webcam,74,442.87,2.26,347.2,309.2,1
2025-08-17T16:59:00.342,BBoxes-YOLOv4tiny,webcam,75,451.27,2.22,349.6,309.2,1
2025-08-17T16:59:00.802,BBoxes-YOLOv4tiny,webcam,76,450.95,2.22,350.2,309.2,1
2025-08-17T16:59:01.259,BBoxes-YOLOv4tiny,webcam,77,448.14,2.23,350.1,309.2,0
2025-08-17T16:59:01.716,BBoxes-YOLOv4tiny,webcam,78,448.1,2.23,350.0,309.2,0
2025-08-17T16:59:02.167,BBoxes-YOLOv4tiny,webcam,79,442.14,2.26,352.5,309.2,0
2025-08-17T16:59:02.620,BBoxes-YOLOv4tiny,webcam,80,443.4,2.26,349.1,309.2,0
2025-08-17T16:59:03.073,BBoxes-YOLOv4tiny,webcam,81,444.96,2.25,350.6,309.2,0
2025-08-17T16:59:03.528,BBoxes-YOLOv4tiny,webcam,82,445.08,2.25,350.0,309.2,0
2025-08-17T16:59:03.984,BBoxes-YOLOv4tiny,webcam,83,447.84,2.23,350.4,309.2,0
2025-08-17T16:59:04.446,BBoxes-YOLOv4tiny,webcam,84,452.69,2.21,351.1,309.2,0
2025-08-17T16:59:04.902,BBoxes-YOLOv4tiny,webcam,85,446.78,2.24,348.7,309.2,0
2025-08-17T16:59:05.351,BBoxes-YOLOv4tiny,webcam,86,440.7,2.27,351.4,309.2,0
2025-08-17T16:59:05.805,BBoxes-YOLOv4tiny,webcam,87,444.79,2.25,350.4,309.2,0
2025-08-17T16:59:06.268,BBoxes-YOLOv4tiny,webcam,88,454.42,2.2,351.7,309.2,0
