timestamp,method,source,frame_idx,latency_ms,fps_inst,cpu_pct,ram_mb,detections
2025-08-17T16:26:03.212450,KeyPoints-resnet50,webcam,0,29078.9,0.0,0.0,840.79296875,2
2025-08-17T16:26:03.213740,KeyPoints-resnet50,webcam,1,29078.9,0.0,0.0,840.79296875,2
2025-08-17T16:26:42.320802,KeyPoints-resnet50,webcam,2,30614.0,0.9,0.0,813.92578125,1
2025-08-17T16:26:42.322406,KeyPoints-resnet50,webcam,3,30614.0,0.9,0.0,813.92578125,1
2025-08-17T16:27:11.228866,KeyPoints-resnet50,webcam,4,28627.3,0.48,0.0,876.140625,0
2025-08-17T16:27:11.230920,KeyPoints-resnet50,webcam,5,28627.3,0.48,0.0,876.140625,0
2025-08-17T16:27:47.280589,KeyPoints-resnet50,webcam,6,28313.4,0.96,0.0,876.19921875,0
2025-08-17T16:27:47.281147,KeyPoints-resnet50,webcam,7,28313.4,0.96,0.0,876.19921875,0
2025-08-17T16:28:23.679361,KeyPoints-resnet50,webcam,8,28408.3,0.96,0.0,876.2109375,0
2025-08-17T16:28:23.679899,KeyPoints-resnet50,webcam,9,28408.3,0.96,0.0,876.2109375,0
2025-08-17T16:28:52.020345,KeyPoints-resnet50,webcam,10,28304.2,0.5,0.0,827.28515625,0
2025-08-17T16:28:52.031835,KeyPoints-resnet50,webcam,11,28304.2,0.5,0.0,827.28515625,0
